node	coverage	length
utig4-253	3.04	5362
utig4-254	3.25	12234
utig4-255	2.32	5022
utig4-256	1.85	2933
utig4-257	10.33	6359
utig4-259	30.35	4598908
utig4-260	31.47	30296303
utig4-264	4.00	2810
utig4-267	2.51	15561
utig4-268	10.94	19998
utig4-269	9.35	1
utig4-270	2.04	15665
utig4-271	3.86	30927
utig4-272	5.37	16901
utig4-273	1.00	10098
utig4-274	1.00	11314
utig4-275	1.94	21941
utig4-276	1.76	19286
utig4-277	1.37	11485
utig4-278	1.00	5719
utig4-279	3.96	10808
utig4-280	2.00	7398
utig4-281	1.87	8564
utig4-282	12.84	10236
utig4-283	11.00	10146
utig4-284	1.56	8475
utig4-285	6.51	9666
utig4-286	3.17	21626
utig4-287	2.00	9795
utig4-288	1.95	10118
utig4-289	1.90	11390
utig4-290	1.64	35033
utig4-291	5.60	11484
utig4-292	2.77	8755
utig4-293	6.85	25355
utig4-294	1.00	6743
utig4-295	2.75	13390
utig4-296	1.00	8499
utig4-297	10.27	5779
utig4-298	32.28	163938563
utig4-299	9.55	17763
utig4-300	7.25	30767
utig4-304	1.00	4639
utig4-305	2.12	11558
utig4-306	3.11	17541
utig4-308	8.82	23010
utig4-309	7.95	16666
utig4-310	1.00	11952
utig4-312	2.57	11821
utig4-313	3.50	14361
utig4-316	1.71	4425
utig4-317	6.86	5573
utig4-318	1.70	9087
utig4-319	3.66	10721
utig4-320	5.15	16342
utig4-321	2.00	11378
utig4-322	1.00	9972
utig4-323	1.00	11599
utig4-326	1.00	9877
utig4-327	2.00	10436
utig4-328	3.83	12923
utig4-329	4.18	30615
utig4-330	8.33	14054
utig4-331	25.67	14054
utig4-332	9.95	12054
utig4-333	18.13	517946
utig4-334	3.06	5833
utig4-335	18.42	170605
utig4-336	3.62	36535
utig4-337	16.64	138311
utig4-338	11.33	9891
utig4-339	4.79	10628
utig4-340	1.00	3396
utig4-341	2.65	3848
utig4-342	18.50	12033
utig4-343	1.00	8171
utig4-344	11.29	18324
utig4-345	4.98	33381
utig4-346	7.09	54714
utig4-347	6.67	1
utig4-348	10.12	30087
utig4-349	5.15	19843
utig4-350	2.27	16791
utig4-351	7.00	10462
utig4-354	2881.00	1
utig4-355	3.50	14097
utig4-356	2.00	7312
utig4-357	2.13	16619
utig4-358	3.29	10645
utig4-359	1.00	8310
utig4-360	4.76	7173
utig4-361	10.79	25982
utig4-362	2.16	13777
utig4-363	6.66	32097
utig4-364	15.77	206520
utig4-367	10.36	21302
utig4-368	5.63	13082
utig4-369	17.72	20888
utig4-370	4.45	20797
utig4-371	16.00	8111
utig4-372	17.27	165362
utig4-373	2.00	7943
utig4-375	2.39	20469
utig4-376	3.11	15013
utig4-377	2.74	7293
utig4-381	2.25	9342
utig4-382	2.88	8344
utig4-383	3.00	2409
utig4-384	2.50	2033
utig4-385	2.24	4705
utig4-386	21.00	3138
utig4-387	2.00	7358
utig4-388	2.46	7505
utig4-389	18.50	14162
utig4-390	19.11	140281
utig4-391	6.47	6017
utig4-392	4.83	2278
utig4-393	11.12	3466
utig4-394	3.23	11802
utig4-395	3.52	12948
utig4-396	11.33	11096
utig4-397	4.44	11580
utig4-398	10.81	16510
utig4-399	7.09	48984
utig4-400	4.39	12604
utig4-401	11.00	10743
utig4-402	6.67	9325
utig4-403	8.75	10498
utig4-404	2.83	7822
utig4-405	1.00	4266
utig4-406	10.50	11149
utig4-407	1.85	20705
utig4-408	1.00	7816
utig4-409	4.59	8814
utig4-410	1.00	3854
utig4-411	4.09	12138
utig4-412	1.00	11599
utig4-413	3.50	14074
utig4-415	5.41	7983
utig4-417	3.62	4942
utig4-418	2.14	18494
utig4-419	6.84	9236
utig4-420	10.04	3924
utig4-421	12.98	1
utig4-422	10.50	19754
utig4-424	13.00	15941
utig4-425	7.30	41911
utig4-426	11.85	48449
utig4-427	15.00	15811
utig4-429	13.00	13275
utig4-430	12.27	53958
utig4-431	32.71	87978337
utig4-433	15.50	21651
utig4-437	9.20	21786
utig4-438	13.75	19616
utig4-439	2.80	16640
utig4-440	1.00	4396
utig4-444	8.00	1
utig4-449	15.18	78976
utig4-450	15.74	37585
utig4-451	14.90	206204
utig4-452	2.41	22654
utig4-453	5.00	5838
utig4-454	10.50	3848
utig4-455	4.00	2704
utig4-456	18.30	96744
utig4-457	5.00	7586
utig4-458	22.54	152772
utig4-460	22.22	1850842
utig4-461	21.32	235606
utig4-462	3.48	10240
utig4-463	6.00	12004
utig4-464	3.50	30099
utig4-465	5.64	34999
utig4-466	4.30	25806
utig4-467	21.99	11318
utig4-468	16.98	11856
utig4-469	1.00	10047
utig4-470	2.29	4582
utig4-471	4.16	13681
utig4-472	1.62	5840
utig4-473	4.72	11402
utig4-474	2.50	9102
utig4-475	11.11	1
utig4-476	1.91	15786
utig4-477	6.31	720
utig4-478	2.69	14323
utig4-479	2.00	53943
utig4-482	2.67	17522
utig4-483	8.61	12813
utig4-484	24.06	331767
utig4-485	3.50	5256
utig4-486	20.00	5255
utig4-488	1.57	9499
utig4-489	2.20	9325
utig4-493	2.25	4114
utig4-495	33.04	47054631
utig4-496	32.60	52753397
utig4-497	3.23	20887
utig4-498	2.97	14705
utig4-499	2.27	5432
utig4-500	2.64	18117
utig4-502	1.00	7339
utig4-503	2.33	18753
utig4-504	2.76	6216
utig4-505	36.00	16536
utig4-506	12.56	475764
utig4-507	14.71	36493
utig4-508	25.43	7788280
utig4-509	12.58	284080
utig4-511	7.03	14021
utig4-512	2.71	25806
utig4-513	4.41	13579
utig4-514	6.34	24709
utig4-515	6.77	22021
utig4-517	1.58	15735
utig4-518	3.62	5431
utig4-519	1.45	10775
utig4-520	4.40	14481
utig4-521	2.20	8380
utig4-522	2.54	24164
utig4-523	1.00	7850
utig4-524	1.64	16292
utig4-525	2.90	8063
utig4-526	5.59	7946
utig4-527	2.87	7294
utig4-528	4.97	6799
utig4-529	3.81	67422
utig4-530	3.61	11898
utig4-531	3.02	5244
utig4-532	2.58	19303
utig4-533	3.02	15903
utig4-534	5.22	27539
utig4-535	3.61	18683
utig4-536	1.47	10102
utig4-537	2.15	21652
utig4-538	3.18	16587
utig4-539	2.33	15717
utig4-540	3.79	9745
utig4-541	2.99	19692
utig4-543	7.53	9462
utig4-544	2.88	38253
utig4-545	2.53	13275
utig4-546	3.98	6212
utig4-547	2.22	9664
utig4-548	2.20	19124
utig4-549	1.89	7209
utig4-550	1.77	8683
utig4-551	2.57	5032
utig4-552	2.79	33963
utig4-553	2.17	9603
utig4-554	3.11	9665
utig4-555	8.38	1
utig4-556	32.68	98068405
utig4-557	1.00	12443
utig4-558	15.93	81072
utig4-559	12.05	15822
utig4-560	1.00	3957
utig4-563	17.50	4140
utig4-564	2.83	17784
utig4-565	1.97	15710
utig4-566	2.59	23533
utig4-567	3.15	19321
utig4-568	3.07	27974
utig4-569	32.93	15680
utig4-570	18.51	381937
utig4-573	2.00	21287
utig4-574	2.00	20616
utig4-575	19.00	3159
utig4-576	4.00	3176
utig4-577	18.11	475997
utig4-578	21.23	1812500
utig4-590	12.52	121910
utig4-591	11.63	93398
utig4-594	1.00	17422
utig4-595	9.90	32106
utig4-597	1.83	7324
utig4-598	1.96	14701
utig4-606	14.79	3309
utig4-609	3.41	28322
utig4-647	4.45	8526
utig4-648	1.00	4034
utig4-649	1.00	5361
utig4-651	2.47	20248
utig4-652	2.06	20571
utig4-653	1.83	3158
utig4-665	6.61	44978
utig4-666	11.50	4945
utig4-669	3.00	8430
utig4-671	16.04	57543
utig4-675	1.00	4636
utig4-678	3.04	9988
utig4-679	5.13	26431
utig4-680	9.27	10770
utig4-681	18.98	127927
utig4-682	8.75	9638
utig4-684	3.27	6480
utig4-685	17.12	139484
utig4-686	16.37	877602
utig4-687	4.00	11904
utig4-721	34.36	375898
utig4-722	21.00	4928
utig4-723	22.08	4271360
utig4-724	32.68	77429520
utig4-731	3.13	3879
utig4-732	2.00	2048
utig4-733	24.28	1591628
utig4-734	18.10	22840
utig4-736	16.57	6168
utig4-738	4.06	18035
utig4-739	2.61	4862
utig4-740	2.45	9872
utig4-741	16.83	389147
utig4-743	20.36	49075
utig4-744	9.24	16360
utig4-745	16.49	333651
utig4-746	63.50	19701
utig4-747	25.95	746024
utig4-748	31.40	35238127
utig4-749	3.25	4188
utig4-750	9.09	15878
utig4-752	26.21	11910939
utig4-753	22.76	362833
utig4-754	3.33	3827
utig4-756	4.00	10683
utig4-757	4.22	10740
utig4-760	32.86	57320816
utig4-761	4.70	11149
utig4-762	21.44	312225
utig4-764	3.63	39433
utig4-765	1.48	11335
utig4-766	1.65	3719
utig4-767	1.75	11261
utig4-768	31.90	59192082
utig4-769	32.39	47330405
utig4-770	32.27	54024924
utig4-772	7.00	2954
utig4-774	1.00	4978
utig4-776	15.51	597894
utig4-777	24.65	1154028
utig4-778	24.83	9723253
utig4-779	10.64	306046
utig4-780	19.69	368222
utig4-781	4.00	10526
utig4-782	19.88	1236733
utig4-783	17.32	419005
utig4-784	2.80	8538
utig4-785	2.27	7931
utig4-786	32.50	85853833
utig4-787	5.15	5244
utig4-788	3.97	6160
utig4-789	1.49	11455
utig4-790	20.25	4958701
utig4-791	2.00	3867
utig4-792	16.58	121080
utig4-793	5.31	13914
utig4-794	12.49	767345
utig4-795	13.63	20895
utig4-796	13.25	20304
utig4-797	32.35	84591256
utig4-798	24.57	954428
utig4-799	41.17	21008
utig4-801	1.00	4339
utig4-803	2.41	34086
utig4-804	32.60	77042476
utig4-805	2.00	4498
utig4-806	9.45	44016
utig4-807	11.27	291963
utig4-808	12.14	34293
utig4-810	10.25	29500
utig4-811	19.28	19858
utig4-812	5.84	24099
utig4-813	6.00	16273
utig4-815	10.23	15066
utig4-817	7.73	79638
utig4-818	4.00	12122
utig4-819	4.85	12125
utig4-820	7.00	19858
utig4-821	32.15	95470606
utig4-822	1.00	5875
utig4-823	1.00	4030
utig4-824	10.66	159060
utig4-825	11.09	91124
utig4-826	19.62	162057
utig4-827	22.59	290468
utig4-828	1.57	5026
utig4-829	1.00	6569
utig4-830	1.00	3372
utig4-831	19.40	744771
utig4-832	2.91	7444
utig4-834	19.84	3249704
utig4-835	1.15	7607
utig4-836	11.66	32631
utig4-837	17.35	211289
utig4-838	2.34	4383
utig4-839	20.77	1372895
utig4-840	23.47	21681
utig4-841	5.63	27665
utig4-842	11.50	11990
utig4-843	9.40	59064
utig4-844	26.07	8281599
utig4-845	5.25	29492
utig4-846	16.36	338465
utig4-847	23.89	2464550
utig4-848	2.97	7670
utig4-849	20.00	9184
utig4-850	18.35	602565
utig4-851	20.34	1073986
utig4-852	2.76	6990
utig4-853	26.13	1057241
utig4-854	18.84	933266
utig4-855	5.24	10844
utig4-856	14.98	58704
utig4-857	18.64	134503
utig4-858	19.45	686620
utig4-859	3.70	14682
utig4-860	19.40	2065390
utig4-861	4.43	1
utig4-862	18.18	162799
utig4-863	21.75	1236547
utig4-864	16.48	538440
utig4-865	6.82	24833
utig4-866	2.00	20620
utig4-867	16.09	195552
utig4-868	3.39	10820
utig4-869	11.00	14524
utig4-870	32.44	51807487
utig4-871	18.24	896157
utig4-872	15.74	18620
utig4-873	2.66	26183
utig4-876	3.36	16207
utig4-877	32.51	15212019
utig4-878	15.46	236432
utig4-879	2.00	5781
utig4-880	17.66	787844
utig4-881	32.37	69955839
utig4-882	23.16	929527
utig4-883	18.77	848978
utig4-884	10.97	9702
utig4-885	18.50	1
utig4-886	15.69	65937
utig4-887	4.00	1940
utig4-888	18.22	1090803
utig4-889	1.48	8932
utig4-890	31.58	43329852
utig4-891	10.34	30948
utig4-892	2.50	47459
utig4-894	18.69	520906
utig4-895	32.03	58789361
utig4-896	31.63	47582048
utig4-897	17.53	115082
utig4-898	4.02	7490
utig4-899	15.67	185963
utig4-900	4.23	22919
utig4-901	29.88	1
utig4-902	13.57	12250
utig4-903	3.36	10005
utig4-904	4.26	7885
utig4-905	3.69	17699
utig4-906	2.00	4767
utig4-907	32.78	36992030
utig4-908	32.52	201044151
utig4-909	31.93	53510840
utig4-910	31.94	49518706
utig4-911	24.27	804716
utig4-912	3.35	12479
utig4-913	31.73	47540814
utig4-914	32.90	12116600
utig4-915	32.24	74335594
utig4-916	32.42	80263618
utig4-918	5.55	12097
utig4-920	16.16	110050
utig4-921	32.26	63621614
utig4-922	32.56	52114646
utig4-923	14.50	1949
utig4-924	7.50	1937
utig4-927	23.50	26524
utig4-928	24.61	71059
utig4-929	3.49	11260
utig4-930	24.84	743168
utig4-931	5.00	5802
utig4-932	2.37	3301
utig4-933	18.56	1508993
utig4-934	32.95	380207894
utig4-941	3.77	17688
utig4-943	9.00	24106
utig4-945	1.00	10223
utig4-946	1.00	5289
utig4-947	18.71	597318
utig4-948	5.45	5995
utig4-949	19.21	774659
utig4-950	17.03	250546
utig4-953	1.80	5377
utig4-954	2.00	8138
utig4-955	2.00	1898
utig4-957	4.67	4377
utig4-958	1.00	4392
utig4-959	22.00	24812
utig4-960	18.95	22920
utig4-961	15.48	107414
utig4-962	2.00	2210
utig4-963	17.18	508114
utig4-964	2.03	10833
utig4-965	17.99	290986
utig4-966	2.50	13146
utig4-970	1.00	4094
utig4-974	32.54	180594119
utig4-975	32.70	60807326
utig4-976	4.00	7456
utig4-977	6.00	11602
utig4-978	6.25	10808
utig4-979	2.62	11254
utig4-980	22.14	1932269
utig4-981	22.54	3582718
utig4-984	24.87	9314011
utig4-985	16.00	19301
utig4-986	3.21	16076
utig4-987	32.94	36843464
utig4-988	7.18	84406
utig4-993	6.11	25299
utig4-994	25.46	1113317
utig4-995	1.81	9209
utig4-996	6.88	16972
utig4-997	10.50	10049
utig4-998	6.93	10058
utig4-999	20.00	34317
utig4-1000	3.89	14287
utig4-1001	1.00	14290
utig4-1002	42.00	7644
utig4-1003	2.58	36332
utig4-1005	2.53	34887
utig4-1010	9.77	30238
utig4-1012	2.68	24147
utig4-1014	6.00	25576
utig4-1020	15.00	8907
utig4-1024	8.00	26369
utig4-1025	14.50	16092
utig4-1026	13.50	28375
utig4-1028	3.85	17341
utig4-1029	7.50	25091
utig4-1030	11.00	25091
utig4-1031	6.50	22373
utig4-1032	5.17	17351
utig4-1034	10.50	19925
utig4-1036	11.50	12835
utig4-1037	24.50	7205
utig4-1039	31.00	34172
utig4-1040	3.00	13293
utig4-1044	2.00	19917
utig4-1045	12.21	24480
utig4-1046	4.86	1943
utig4-1047	12.31	125279
utig4-1049	4.89	7641
utig4-1050	7.76	37519
utig4-1051	9.63	100050
utig4-1052	13.50	24893
utig4-1053	34.09	30310733
utig4-1054	18.86	1167769
utig4-1055	2.70	5560
utig4-1056	5.07	24347
utig4-1060	9.88	38698
utig4-1062	1.00	5008
utig4-1064	32.46	198266031
utig4-1066	4.44	21342
utig4-1067	8.67	21133
utig4-1068	9.78	40437
utig4-1069	20.59	3621852
utig4-1070	3.02	10762
utig4-1073	2.58	4191
utig4-1074	3.01	42237
utig4-1075	1.43	9712
utig4-1076	3.32	19909
utig4-1088	2.90	10395
utig4-1089	2.07	19937
utig4-1090	2.03	13681
utig4-1091	21.49	2216953
utig4-1094	1.00	6561
utig4-1097	2.00	5872
utig4-1098	22.22	2978891
utig4-1099	4.68	15218
utig4-1100	12.88	9764
utig4-1101	20.90	9880
utig4-1102	4.98	1
utig4-1104	2.27	32427
utig4-1105	1.86	4512
utig4-1106	2.45	10348
utig4-1107	2.83	1
utig4-1108	1.00	9319
utig4-1109	2.78	4012
utig4-1110	2.57	17362
utig4-1111	1.00	5894
utig4-1112	2.40	10017
utig4-1118	1.85	430
utig4-1119	4.13	14811
utig4-1120	3.42	10573
utig4-1122	2.49	16317
utig4-1123	4.00	3462
utig4-1124	3.05	9110
utig4-1126	10.00	4874
utig4-1129	3.10	20084
utig4-1132	1.00	5396
utig4-1137	3.17	10314
utig4-1138	4.03	25729
utig4-1139	18.14	711779
utig4-1140	1.67	3684
utig4-1141	1.38	3156
utig4-1143	13.25	12036
utig4-1144	1.22	9330
utig4-1145	3.00	1007
utig4-1146	6.48	12730
utig4-1147	2.44	3770
utig4-1148	9.48	1
utig4-1149	9.34	4761
utig4-1151	17.25	4052
utig4-1152	5.00	5505
utig4-1153	3.44	3703
utig4-1154	2.42	8221
utig4-1155	1.44	4809
utig4-1156	3.50	2655
utig4-1157	2.00	1177
utig4-1158	2.45	4113
utig4-1159	4.56	5054
utig4-1160	9.67	4310
utig4-1161	4.98	7241
utig4-1162	4.00	3530
utig4-1163	2.00	2788
utig4-1164	2.00	5435
utig4-1165	4.50	2241
utig4-1166	1.39	7246
utig4-1167	18.10	194576
utig4-1168	19.00	1
utig4-1169	3.00	2153
utig4-1170	18.06	5419
utig4-1171	1.50	2706
utig4-1172	18.18	1288351
utig4-1173	10.00	17112
utig4-1174	1.97	17293
utig4-1175	3.71	4091
utig4-1176	44.89	316537
utig4-1177	21.00	3866
utig4-1178	32.20	97103651
utig4-1179	27.35	6161387
utig4-1180	2.26	7253
utig4-1181	2.00	3995
utig4-1182	49.27	115886
utig4-1183	22.17	16314
utig4-1184	24.00	16892
utig4-1185	28.50	3185
utig4-1186	24.50	3102
utig4-1187	4.15	5787
utig4-1189	4.17	8993
utig4-1190	2.00	2745
utig4-1191	2.00	19444
utig4-1192	1.89	6759
utig4-1193	18.58	7003
utig4-1195	19.51	223465
utig4-1196	23.29	1503040
utig4-1197	2.50	3206
utig4-1198	41.51	38896
utig4-1199	23.14	6155
utig4-1200	23.69	214344
utig4-1201	15.27	21760
utig4-1202	5.83	3014
utig4-1204	1.00	5157
utig4-1205	6.51	11544
utig4-1206	2.34	5091
utig4-1207	7.67	4015
utig4-1208	1.52	10704
utig4-1209	4.00	3887
utig4-1210	2.97	4190
utig4-1211	48.00	21148
utig4-1212	22.00	4787
utig4-1213	22.86	593886
utig4-1214	27.45	228795
utig4-1216	15.89	418128
utig4-1217	4.22	5339
utig4-1218	19.23	342664
utig4-1219	2.00	3926
utig4-1220	2.00	1713
utig4-1228	3.00	3481
utig4-1229	24.92	122288
utig4-1230	5.66	6623
utig4-1231	2.08	19995
utig4-1232	2.00	3882
utig4-1233	5.62	5828
utig4-1234	2.41	11196
utig4-1235	3.23	21351
utig4-1236	7.50	4370
utig4-1237	25.69	1962231
utig4-1239	4.50	4379
utig4-1240	4.26	4471
utig4-1241	32.79	48398518
utig4-1243	4.40	5671
utig4-1245	4.57	53093
utig4-1246	2.63	4391
utig4-1248	20.39	5991
utig4-1250	59.36	5998
utig4-1251	35.73	5642
utig4-1252	35.04	11197
utig4-1253	2.49	11293
utig4-1254	1.00	4917
utig4-1255	18.59	87507
utig4-1256	1.54	15363
utig4-1257	20.89	578425
utig4-1258	2.62	6889
utig4-1259	3.80	4666
utig4-1260	53.07	33868
utig4-1261	32.00	3062
utig4-1262	32.36	85477138
utig4-1263	32.61	76975324
utig4-1264	1.98	12309
utig4-1265	4.00	4438
utig4-1266	60.18	50996
utig4-1267	27.08	85465
utig4-1268	24.60	2149976
utig4-1269	28.28	44768
utig4-1270	27.13	43921
utig4-1271	15.65	20598
utig4-1272	19.65	182316
utig4-1273	3.61	8494
utig4-1274	2.92	14221
utig4-1275	3.33	5239
utig4-1276	2.00	4725
utig4-1277	2.00	2182
utig4-1278	3.41	4100
utig4-1279	4.17	4951
utig4-1280	15.75	9105
utig4-1281	15.04	12729
utig4-1282	2.04	5933
utig4-1283	2.42	11148
utig4-1284	3.35	6757
utig4-1285	4.12	10058
utig4-1286	4.09	17265
utig4-1287	3.16	19332
utig4-1288	1.80	9982
utig4-1289	4.72	5219
utig4-1290	1.64	11111
utig4-1291	4.13	11749
utig4-1292	2.39	37264
utig4-1293	3.53	32137
utig4-1294	2.25	12325
utig4-1295	6.05	24911
utig4-1296	3.74	16365
utig4-1297	4.91	9467
utig4-1298	4.33	3204
utig4-1299	24.45	675167
utig4-1300	1.75	19311
utig4-1301	1.97	8805
utig4-1302	16.81	106932
utig4-1303	22.29	1732258
utig4-1304	2.12	18377
utig4-1305	2.48	5097
utig4-1306	2.50	2672
utig4-1307	7.00	15386
utig4-1308	3.62	6011
utig4-1309	21.05	4552365
utig4-1310	3.34	35041
utig4-1311	22.43	1092585
utig4-1312	20.67	513358
utig4-1313	1.79	16392
utig4-1314	24.61	1343431
utig4-1315	8.00	12088
utig4-1317	5.98	7610
utig4-1318	2.29	9028
utig4-1319	2.10	32568
utig4-1320	2.37	23317
utig4-1321	3.26	11821
utig4-1323	16.00	6972
utig4-1325	4.70	22631
utig4-1326	9.78	9497
utig4-1327	4.66	8001
utig4-1328	5.78	12483
utig4-1329	2.00	1
utig4-1330	1.56	12197
utig4-1331	8.32	15900
utig4-1332	3076.00	7025
utig4-1333	6.51	2212
utig4-1334	3.21	18453
utig4-1335	2.13	15995
utig4-1336	3.68	6986
utig4-1338	4.69	24098
utig4-1339	3.32	22457
utig4-1340	5.60	8528
utig4-1341	5.19	15655
utig4-1342	2.51	20097
utig4-1343	2.30	20836
utig4-1344	17.43	14165
utig4-1345	3.74	87579
utig4-1346	2.80	59297
utig4-1348	3.09	54900
utig4-1349	2.41	42783
utig4-1350	6.81	7901
utig4-1351	1.91	6268
utig4-1352	16.49	15001
utig4-1353	18.75	13870
utig4-1354	4.78	26621
utig4-1355	4.03	53025
utig4-1357	30.46	26780
utig4-1358	25.75	1
utig4-1359	2917.00	1
utig4-1360	4.70	10452
utig4-1361	2.84	15182
utig4-1362	6.05	9766
utig4-1363	3.20	42108
utig4-1364	2.73	7595
utig4-1365	7.62	8769
utig4-1366	15.06	42984
utig4-1367	5.87	7931
utig4-1368	3.00	4557
utig4-1369	3.40	15865
utig4-1370	4.56	8898
utig4-1371	2.68	17232
utig4-1374	2.74	34021
utig4-1375	2.93	40041
utig4-1376	4.47	29921
utig4-1377	1.82	20923
utig4-1378	2.52	12863
utig4-1380	1.97	15213
utig4-1381	5.77	23767
utig4-1382	2.21	23470
utig4-1383	4.95	6063
utig4-1384	1.86	14183
utig4-1385	19.27	987437
utig4-1386	4.08	7723
utig4-1387	2.79	2954
utig4-1388	3.10	36598
utig4-1389	6.80	21339
utig4-1391	3.89	6913
utig4-1393	4.08	27545
utig4-1395	2.65	16985
utig4-1396	3.28	3850
utig4-1397	4.48	13274
utig4-1398	1.94	24784
utig4-1399	2.88	28411
utig4-1400	12.98	10044
utig4-1401	1.71	8391
utig4-1402	2.69	7081
utig4-1403	1.94	14707
utig4-1404	13.43	14160
